,CodigoServico,Servico,Unidade,DataVigencia,ValorMaximo,TipoValor,Periodicidade,CNPJ
0,0101,Confecção de ficha cadastral,por cliente,2021-06-09,0.0,Real,Por evento,36321990
1,0701,Entrada por borderô (listagem de titulos),por titulo,2021-06-10,0.0,Real,Por evento,36321990
2,0702,Entrada por meio magnético,por titulo,2021-06-10,0.0,Real,Por evento,36321990
3,0703,Entrada sem registro - por boleto emitido pelo cliente,por titulo,2021-06-10,0.0,Real,Por evento,36321990
4,0705,Envio para protesto,por titulo,2021-06-10,0.0,Real,Por evento,36321990
5,0706,Sustação de protesto,por titulo,2021-06-10,0.0,Real,Por evento,36321990
6,0707,Devolução de título,por titulo,2021-06-10,0.0,Real,Por evento,36321990
7,0801,Abertura de crédito,por operacao,2021-06-10,0.0,Real,Por evento,36321990
8,0802,Renegociação de dívida,por operacao,2021-06-10,0.0,Real,Por evento,36321990
9,0803,Substituição de garantia,por operacao,1996-07-25,0.0,Real,Por evento,36321990
10,0804,Custódia de cheque pré-datado,por operacao,2009-12-31,0.0,Real,Por evento,36321990
11,0805,Rescisão Contratual (Quitação Antecipada),Por Operação,2009-12-31,0.0,Real,Por evento,36321990
12,0901,Segunda via de documento,por copia,1996-07-25,0.0,Real,Por evento,36321990
13,0902,Ressarcimento de despesas-telefonema,por chamada,1996-07-25,0.0,Real,Por evento,36321990
14,0903,Ressarcimento de despesas-fax,por folha,1996-07-25,0.0,Real,Por evento,36321990
15,0904,Envelopamento de documentos,por envelope,1996-07-25,0.0,Real,Por evento,36321990
16,0905,Pagamento de funcionários via relação,por funcionario,1996-07-25,0.0,Real,Por evento,36321990
0,0101,Confecção de ficha cadastral,por cliente,2020-06-15,50000.0,Real,Por evento,27214112
1,0102,Renovação de ficha cadastral,por cliente,2020-06-15,50000.0,Real,A cada 365 dias,27214112
2,0801,Abertura de crédito,por operacao,2021-03-29,3.0,Percentual,Por evento,27214112
3,0802,Renegociação de dívida,por operacao,2021-03-29,3.0,Percentual,Por evento,27214112
4,0803,Substituição de garantia,por operacao,2020-06-15,30000.0,Real,Por evento,27214112
5,0804,Custódia de cheque pré-datado,por operacao,2020-06-15,300.0,Real,Por evento,27214112
6,0901,Segunda via de documento,por copia,2017-11-24,50.0,Real,Por evento,27214112
0,0101,Confecção de ficha cadastral,por cliente,2016-10-16,150.0,Real,Por evento,23862762
1,0102,Renovação de ficha cadastral,por cliente,2016-10-16,70.0,Real,A cada 360 dias,23862762
2,0103,Consultas a serviços de proteção ao crédito,por consulta,2016-10-16,40.0,Real,Por evento,23862762
