,id,CodigoServico,Servico,Unidade,DataVigencia,ValorMaximo,TipoValor,Periodicidade,CNPJ
0,0,101,Confecção de ficha cadastral,por cliente,2021-06-09,0.0,Real,Por evento,36321990
1,1,701,Entrada por borderô (listagem de titulos),por titulo,2021-06-10,0.0,Real,Por evento,36321990
2,2,702,Entrada por meio magnético,por titulo,2021-06-10,0.0,Real,Por evento,36321990
3,3,703,Entrada sem registro - por boleto emitido pelo cliente,por titulo,2021-06-10,0.0,Real,Por evento,36321990
4,4,705,Envio para protesto,por titulo,2021-06-10,0.0,Real,Por evento,36321990
5,5,706,Sustação de protesto,por titulo,2021-06-10,0.0,Real,Por evento,36321990
6,6,707,Devolução de título,por titulo,2021-06-10,0.0,Real,Por evento,36321990
7,7,801,Abertura de crédito,por operacao,2021-06-10,0.0,Real,Por evento,36321990
8,8,802,Renegociação de dívida,por operacao,2021-06-10,0.0,Real,Por evento,36321990
9,9,803,Substituição de garantia,por operacao,1996-07-25,0.0,Real,Por evento,36321990
10,10,804,Custódia de cheque pré-datado,por operacao,2009-12-31,0.0,Real,Por evento,36321990
11,11,805,Rescisão Contratual (Quitação Antecipada),por operacao,2009-12-31,0.0,Real,Por evento,36321990
12,12,901,Segunda via de documento,por copia,1996-07-25,0.0,Real,Por evento,36321990
13,13,902,Ressarcimento de despesas-telefonema,por chamada,1996-07-25,0.0,Real,Por evento,36321990
14,14,903,Ressarcimento de despesas-fax,por folha,1996-07-25,0.0,Real,Por evento,36321990
15,15,904,Envelopamento de documentos,por envelope,1996-07-25,0.0,Real,Por evento,36321990
16,16,905,Pagamento de funcionários via relação,por funcionario,1996-07-25,0.0,Real,Por evento,36321990
17,0,101,Confecção de ficha cadastral,por cliente,2020-06-15,50000.0,Real,Por evento,27214112
18,1,102,Renovação de ficha cadastral,por cliente,2020-06-15,50000.0,Real,A cada 365 dias,27214112
19,2,801,Abertura de crédito,por operacao,2021-03-29,3.0,Percentual,Por evento,27214112
20,3,802,Renegociação de dívida,por operacao,2021-03-29,3.0,Percentual,Por evento,27214112
21,4,803,Substituição de garantia,por operacao,2020-06-15,30000.0,Real,Por evento,27214112
22,5,804,Custódia de cheque pré-datado,por operacao,2020-06-15,300.0,Real,Por evento,27214112
23,6,901,Segunda via de documento,por copia,2017-11-24,50.0,Real,Por evento,27214112
24,0,101,Confecção de ficha cadastral,por cliente,2016-10-16,150.0,Real,Por evento,23862762
25,1,102,Renovação de ficha cadastral,por cliente,2016-10-16,70.0,Real,A cada 360 dias,23862762
26,2,103,Consultas a serviços de proteção ao crédito,por consulta,2016-10-16,40.0,Real,Por evento,23862762
27,3,313,"Cobrança de Cheque por compensação com Vl. = ou > R$ 5.000,00(Vl.fx+%)",por cheque,2016-10-16,0.0,Real,Por evento,23862762
28,4,502,Emissão de DOC C,por operacao,2016-10-16,20.0,Real,Por evento,23862762
29,5,503,Emissão de DOC D,por operacao,2016-10-16,20.0,Real,Por evento,23862762
30,6,504,Ordem de Pagamento,por operacao,2016-10-16,60.0,Real,Por evento,23862762
31,7,505,Depósito em outra agência,por operacao,2016-10-16,60.0,Real,Por evento,23862762
32,8,506,Transferência Eletrônica Disponível - TED,por operacao,2016-10-16,20.0,Real,Por evento,23862762
33,9,705,Envio para protesto,por titulo,2016-10-16,50.0,Real,Por evento,23862762
34,10,706,Sustação de protesto,por titulo,2016-10-16,50.0,Real,Por evento,23862762
35,11,707,Devolução de título,por titulo,2016-10-16,20.0,Real,Por evento,23862762
36,12,801,Abertura de crédito,por operacao,2016-10-16,200.0,Real,Por evento,23862762
37,13,802,Renegociação de dívida,por operacao,2016-10-16,80.0,Real,Por evento,23862762
38,14,803,Substituição de garantia,por operacao,2016-10-16,120.0,Real,Por evento,23862762
39,15,901,Segunda via de documento,por copia,2016-10-16,15.0,Real,Por evento,23862762
40,0,101,Confecção de ficha cadastral,por cliente,2021-11-01,4000.0,Real,Por evento,92874270
41,1,102,Renovação de ficha cadastral,por cliente,2021-11-01,350.0,Real,A cada 180 dias,92874270
42,2,103,Consultas a serviços de proteção ao crédito,por consulta,1996-07-25,0.0,Real,Por evento,92874270
43,3,206,Cartão multiplo-internacional-anuidade do contrato,por cartao,2017-09-10,650.0,Real,A cada 365 dias,92874270
44,4,207,Cartão multiplo-internacional-confecção do cartão,por cartao,2021-11-01,20.0,Real,Por evento,92874270
45,5,210,Cartão multiplo adicional-intern.-anuidade do contrato,por cartao,2017-09-10,650.0,Real,A cada 365 dias,92874270
46,6,211,Cartão multiplo adicional-Intern.-confecção do cartão,por cartao,2021-11-01,20.0,Real,Por evento,92874270
47,7,303,Cheque administrativo,por cheque,2008-04-30,10.0,Real,Por evento,92874270
48,8,304,Cheque avulso,por cheque,2008-04-30,10.0,Real,Por evento,92874270
49,9,305,Cheque devolvido por insuficiência de fundos,por cheque,2017-08-26,10.0,Real,Por evento,92874270
50,10,306,Oposição/sustação de pagamento de cheque,por cheque,2017-08-26,11.0,Real,Por evento,92874270
51,11,309,Exclusão do Cadastro de Cheques sem Fundo,por cheque,2017-08-26,50.0,Real,Por evento,92874270
52,12,312,"Cheque Administrativo com vl.igual ou superior a R$5.000,00 (vl.fx.+%)",por cheque,2009-11-27,0.0,Real,Por evento,92874270
53,13,313,"Cobrança de Cheque por compensação com Vl. = ou > R$ 5.000,00(Vl.fx+%)",por cheque,2009-11-27,0.0,Real,Por evento,92874270
54,14,314,"Cheque TB com valor igual ou superior R$ 5.000,00 (vl.fixo + %)",por cheque,2009-11-27,0.0,Real,Por evento,92874270
55,15,401,Abertura de conta,por conta,1996-07-25,0.0,Real,Por evento,92874270
56,16,402,Manutenção de conta ativa,por conta,2019-11-07,178.13,Real,A cada 30 dias,92874270
57,17,403,Manutenção de conta inativa,por conta,1996-07-25,0.0,Real,A cada 0 dias,92874270
58,18,404,"Adiant. a deposit., incl. excesso limite de ch. especial",por operacao,2009-11-27,0.0,Real,Por evento,92874270
59,19,405,Concessão de cheque especial/conta garantida,por conta,2021-11-01,0.0,Real,Por evento,92874270
60,20,406,Renovação de cheque especial/conta garantida,por conta,2021-11-01,0.0,Real,A cada 0 dias,92874270
61,21,407,Débito autorizado em conta-corrente,por operacao,1996-07-25,0.0,Real,Por evento,92874270
62,22,502,Emissão de DOC C,por operacao,2021-11-01,15.0,Real,Por evento,92874270
63,23,503,Emissão de DOC D,por operacao,2021-11-01,15.0,Real,Por evento,92874270
64,24,504,Ordem de Pagamento,por operacao,2021-11-01,30.0,Real,Por evento,92874270
65,25,506,Transferência Eletrônica Disponível - TED,por operacao,2021-11-01,15.0,Real,Por evento,92874270
66,26,602,Por outros meios,por emissao,2020-01-29,0.0,Real,Por evento,92874270
67,27,701,Entrada por borderô (listagem de titulos),por titulo,2021-11-01,150.0,Real,Por evento,92874270
68,28,703,Entrada sem registro - por boleto emitido pelo cliente,por titulo,2019-08-01,4.9,Real,Por evento,92874270
69,29,704,Manutenção de título vencido,por titulo,2021-11-01,10.0,Real,A cada 30 dias,92874270
70,30,705,Envio para protesto,por titulo,2021-11-01,15.0,Real,Por evento,92874270
71,31,706,Sustação de protesto,por titulo,2021-11-01,15.0,Real,Por evento,92874270
72,32,707,Devolução de título,por titulo,1996-07-25,0.0,Real,Por evento,92874270
73,33,801,Abertura de crédito,por operacao,2021-11-01,750.0,Real,Por evento,92874270
